,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
114,11095768,1,4/29/2016 0:00,4/29/2016 0:12,1,3.2,-73.95552826,40.77952575683594,1,N,-73.98369598,40.73877716064453,1,12,0.5,0.5,1,0,0.3,14.3
115,11095769,1,4/29/2016 0:00,4/29/2016 0:04,1,0.3,-73.98870087,40.71956634521485,1,N,-73.98829651,40.7220459,1,4,0.5,0.5,1.5,0,0.3,6.8
116,11095770,1,4/29/2016 0:00,4/29/2016 0:13,1,1.9,-74.00762939,40.74081039428711,1,N,-73.99440765,40.72213745117188,1,10.5,0.5,0.5,2.35,0,0.3,14.15
117,11095771,2,4/29/2016 0:00,4/29/2016 0:11,6,2.22,-73.9989624,40.73426818847656,1,N,-73.98560333,40.761138916015625,2,10,0.5,0.5,0,0,0.3,11.3
118,11095772,2,4/29/2016 0:00,4/29/2016 0:02,2,0.68,-73.97991943,40.76731872558594,1,N,-73.98461914,40.75910949707031,2,4,0.5,0.5,0,0,0.3,5.3
119,11095773,2,4/29/2016 0:00,4/29/2016 0:22,6,3.4,-73.99346924,40.75210571289063,1,N,-73.98680878,40.717586517333984,2,14.5,0.5,0.5,0,0,0.3,15.8
120,11095774,1,4/29/2016 0:00,4/29/2016 0:01,1,0.3,-73.98524475,40.73219299316406,1,N,-73.98766327,40.72877121,2,3,0.5,0.5,0,0,0.3,4.3
121,11095775,2,4/29/2016 0:00,4/29/2016 0:20,1,2.9,-74.00805664,40.74635314941406,1,N,-73.95949554,40.77702713012695,1,16,0.5,0.5,3.46,0,0.3,20.76
122,11095776,2,4/29/2016 0:00,4/29/2016 0:02,1,0.37,-73.98773193,40.738094329833984,1,N,-73.98869324,40.73479080200195,2,3.5,0.5,0.5,0,0,0.3,4.8
123,11095777,1,4/29/2016 0:00,4/29/2016 0:10,1,3.6,-74.01018524,40.72017288208008,1,N,-73.99184418,40.76467514038085,1,12,0.5,0.5,2.65,0,0.3,15.95
124,11095778,1,4/29/2016 0:00,4/29/2016 0:20,1,8.5,-73.87297821,40.77398681640625,1,N,-73.96916962,40.75665664672852,1,26,0.5,0.5,10,5.54,0.3,42.84
125,11095779,1,4/29/2016 0:00,4/29/2016 0:15,1,2.2,-73.98210144,40.72786331176758,1,N,-73.99146271,40.75012969970703,1,12,0.5,0.5,2.65,0,0.3,15.95
126,11095780,2,4/29/2016 0:00,4/29/2016 0:27,2,9.33,-74.00991821,40.72071457,1,N,-74.01556396,40.615886688232415,1,30.5,0.5,0.5,6,5.54,0.3,43.34
127,11095781,2,4/29/2016 0:00,4/29/2016 0:02,1,0.21,-73.99355316,40.72130966186523,1,N,-73.99195099,40.721981048583984,1,3,0.5,0.5,0.86,0,0.3,5.16
128,11095782,2,4/29/2016 0:00,4/29/2016 0:31,1,3.2,-74.0036087,40.74163818359375,1,N,-74.00653076,40.70937347412109,1,20,0.5,0.5,3.5,0,0.3,24.8
129,11095783,1,4/29/2016 0:00,4/29/2016 0:07,1,0.8,-73.97640228,40.75545120239258,1,N,-73.97458649,40.74837112426758,1,6,0.5,0.5,1.45,0,0.3,8.75
130,11095784,2,4/29/2016 0:00,4/29/2016 0:17,1,5.92,-73.99920654,40.72008895874024,1,N,-73.98986816,40.66191864013672,1,19.5,0.5,0.5,2.5,0,0.3,23.3
131,11095785,2,4/29/2016 0:00,4/29/2016 0:10,1,2.26,-73.99712372,40.72254943847656,1,N,-73.97828674,40.75099945,1,10,0.5,0.5,2.26,0,0.3,13.56
132,11095786,2,4/29/2016 0:00,4/29/2016 0:07,2,1.18,-73.99347687,40.72753143310547,1,N,-73.97943878,40.73550033569336,1,6.5,0.5,0.5,1.56,0,0.3,9.36
133,11095787,2,4/29/2016 0:00,4/29/2016 0:23,1,7.22,-74.01473999,40.716835021972656,1,N,-73.97697449,40.754337310791016,1,24.5,0.5,0.5,5.16,0,0.3,30.96
134,11095788,1,4/29/2016 0:00,4/29/2016 0:05,2,2,-73.96437836,40.79736709594727,1,N,-73.98300171,40.77155303955078,2,7.5,0.5,0.5,0,0,0.3,8.8
